Example,bargaining,battle_of_the_sexes,bertrand,common_value_auction,cournot,dictator,guess_two_thirds,lemon_market,matching_pennies,principal_agent,prisoner,public_goods,quiz,real_effort,stackelberg,survey,traveler_dilemma,trust,ultimatum,vickrey_auction,volunteer_dilemma
subsession->group,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
player->player,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
group->player,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1
subsession->player,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
player->role,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
player->group,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group->group,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
subsession->subsession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
player->payoff,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
subsession->session,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
group->group,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
